statement,source,veracity,date,lemmas
"Says Travis County Sheriff Greg Hamilton has accepted $42,000 from strip-club interests and $10,000 from local alcohol distributors.",Raymond Frank,1,2012-10-11,travis county sheriff greg hamilton accept strip club interest local alcohol distributor
"Says Chris Christie created ""this new category where you could get laid off and just be totally denied unemployment benefits forever.""",Barbara Buono,1,2012-10-11,chris christie create new category lay totally deny unemployment benefit forever
"""Repealing and replacing Obamacare – that’s going to save $1 trillion over a 10-year period.""",George Allen,0,2012-10-11,repeal replace obamacare save trillion year period
"A member of the redistricting commission proposed in Issue 2 ""could accept a bribe from somebody"" and ""couldn’t be removed from this commission.""",Jon Husted,0,2012-10-11,member redistricting commission propose issue accept bribe somebody remove commission
"""Newgard owed more than $13,000 for unpaid taxes on his $1 million Milwaukie apartment complex.""",Future PAC (Oregon House Democrats),0,2012-10-11,newgard owe unpaid taxis million milwaukie apartment complex
"Says Bill Nelson sold agricultural land ""for home development, pocketing at least $1.4 million.""",American Crossroads,0,2012-10-10,bill nelson sell agricultural land home development pocket million
"Says Romney wants to ""take away early childhood education, slash K-12 funding, and cut college aid … to pay for a $250,000 tax break for multi-millionaires.""",Priorities USA Action,0,2012-10-10,romney want away early childhood education slash funding cut college aid pay tax break multi millionaire
"""We confer more PhDs each year than any other university in America except Berkeley.""",Bill Powers,0,2012-10-10,confer phds year university america berkeley
"Says Tammy Baldwin supports a law ""in which government will take over your decisions on medicine, on doctors and on hospitals.""",Tommy Thompson,0,2012-10-10,tammy baldwin support law government decision medicine doctor hospital
High school students arrested on campus are twice as likely not to graduate and four times less likely to graduate if they’ve appeared in court.,Steven Teske,1,2012-10-10,high school student arrest campus twice likely graduate time likely graduate appear court
"""We need a Senator who shows up to work. Sherrod Brown missed over 350 official votes.""",Josh Mandel,0,2012-10-10,need senator work sherrod brown miss official vote
"Says Mitt Romney plans to ""fire"" Big Bird.",Barack Obama,0,2012-10-09,mitt romney plan fire big bird
"Says Romney invested in a firm that made goods in China that ""could have been made here in America.""",Barack Obama,0,2012-10-09,romney invest firm good china america
"Says Bill Nelson ""cast the deciding vote for Obamacare cutting Medicare spending by $700 billion and letting an unelected board decide what gets covered here.""",American Crossroads,0,2012-10-09,bill nelson cast decide vote obamacare cut medicare spending billion let unelected board decide gets cover
"Says she ""oversaw an audit that won the city $2 million in franchise fees.""",Amanda  Fritz,1,2012-10-09,oversee audit win city million franchise fee
"""This is what President Obama said the jobless rate would be if we passed the stimulus: 5.6 percent.""",American Crossroads,0,2012-10-09,president obama jobless rate pass stimulus percent
"Gov. Nathan Deal ""has taken at least $15,600 from the (Koch brothers), their businesses, and their employees.""",Patriot Majority USA,0,2012-10-09,nathan deal koch brother business employee
"""Congressman Cicilline, when he was the mayor of Providence, espoused a sanctuary city.""",Brendan Doherty,0,2012-10-09,congressman cicilline mayor providence espouse sanctuary city
"The federal tax code has ""loopholes that are giving incentives for companies that are shipping jobs overseas.""",Barack Obama,1,2012-10-08,federal tax code loophole incentive company ship job overseas
"Under Barack Obama, the U.S. now has the ""lowest workforce since (President Jimmy) Carter.""",American Future Fund,0,2012-10-08,barack obama low workforce president jimmy carter
"Eric Cantor ""took $5 million from Sheldon Adelson,"" a Las Vegas casino owner.",Wayne Powell,0,2012-10-08,eric cantor million sheldon adelson las vegas casino owner
Says Texas lawmakers last year expanded public education’s share of state spending.,Joe Straus,1,2012-10-08,texas lawmaker year expand public education share state spending
"""When (Joe Kyrillos) had an opportunity to vote for women in terms of their health care, not once, not twice, but six times, he voted against women’s health care in our state.""",Robert Menendez,1,2012-10-08,joe kyrillos opportunity vote woman term health care twice time vote woman health care state
Less than 10 percent of President Barack Obama’s Cabinet members have private-sector experience.,Chain email,0,2012-10-08,less percent president barack obama cabinet member private sector experience
"Says opponent U.S. Rep. Gwen Moore ‘is Wisconsin’s most absent member of Congress, missing nearly 17 percent of the House votes in the second quarter of 2012.’",Dan Sebring,1,2012-10-08,opponent gwen moore wisconsin absent member congress miss nearly percent house vote second quarter
"""All legislative mail, from the content to the timing, is approved by the speaker's office.""",Jim Kyle,0,2012-10-08,legislative mail content timing approve speaker office
"""When Congressman Langevin took office, gas was around $1.70 per gallon, and now it is near $4 per gallon.""",Michael Riley,0,2012-10-08,congressman langevin office gas gallon near gallon
Says U.S. Senate opponent Tommy Thompson favors raising taxes on small businesses.,Tammy Baldwin,0,2012-10-07,senate opponent tommy thompson favor raise taxis small business
"Says Tennessee is providing ""millions of dollars"" to virtual school company for ""results at the bottom of the bottom.""",Andy Berke,1,2012-10-07,tennessee provide million dollar virtual school company result
"U.S. Sen. Sheldon Whitehouse ""rewarded Wall Street executives with millions in bonuses.""",Barry Hinckley,0,2012-10-07,sheldon whitehouse reward wall street executive million bonus
Says she is a registered nurse.,Laurie Monnes Anderson,0,2012-10-07,registered nurse
"""If Gov. Romney's plan goes into effect … the average senior would have to pay $460 a year more in tax for their Social Security.""",Joe Biden,0,2012-10-05,romney plan effect average senior pay year tax social security
"""In one year, (President Obama) provided $90 billion in breaks to the green energy world … into solar and wind, to Solyndra and Fisker and Tesla and Ener1.""",Mitt Romney,0,2012-10-05,year president obama provide billion break green energy world solar wind solyndra fisker tesla
Says 50 million people would lose their health insurance if Obamacare is repealed.,Barack Obama,0,2012-10-05,million people lose health insurance obamacare repeal
"Says President Obama has ""doubled"" the deficit.",Mitt Romney,0,2012-10-05,president obama double deficit
"""Carol Shea-Porter … wants to increase taxes on small business and job creators.""",Frank Guinta,0,2012-10-05,carol shea porter want increase taxis small business job creator
"""Pre-existing conditions are covered under my (health care) plan.""",Mitt Romney,0,2012-10-05,pre existing condition cover health care plan
"Massachusetts schools ""are ranked No. 1 of all 50 states.""",Mitt Romney,1,2012-10-05,massachusetts school rank state
"""I never supported"" a state income tax for Texas.",Paul Sadler,0,2012-10-05,i support state income tax texas
"Says ""Portland has higher standards than feds on allowed police use of force.""",Sam Adams,1,2012-10-05,portland high standard fed allow police use force
Says Romney wants to add $2 trillion to the defense budget that the military hasn’t asked for.,Barack Obama,1,2012-10-05,romney want add trillion defense budget military ask
"Says U.S. Senate opponent Tammy Baldwin supported a federal budget ""that spent trillions -- not billions, trillions -- more money than the Obama budget.""",Tommy Thompson,0,2012-10-05,senate opponent tammy baldwin support federal budget spend trillion billion trillion money obama budget
"Says Paul Ryan’s budget would turn Medicare into a ""voucher.""",Robert Menendez,1,2012-10-05,paul ryan budget turn medicare voucher
"""We're up 123,000 jobs over the last year and three-quarters. We're actually, according to the Bureau of Labor statistics, down 500 ... auto jobs in Ohio.""",John Kasich,1,2012-10-05,job year quarter actually accord bureau labor statistic auto job ohio
"Says the United States has the ""highest corporate tax rate in the world.""",Joseph Kyrillos,1,2012-10-04,united states high corporate tax rate world
"""Under Gov. Romney's definition ... Donald Trump is a small business.""",Barack Obama,0,2012-10-04,romney definition donald trump small business
"Because of Obamacare, ""over the last two years, health care premiums have gone up -- it's true -- but they've gone up slower than any time in the last 50 years.""",Barack Obama,0,2012-10-04,obamacare year health care premium true slow time year
Says Obama promised to cut the deficit in half.,Mitt Romney,1,2012-10-04,obama promise cut deficit half
"""Right now, the (Congressional Budget Office) says up to 20 million people will lose their insurance as Obamacare goes into effect next year.""",Mitt Romney,0,2012-10-04,right congressional budget office million people lose insurance obamacare effect year
"""(Barack Obama) says he’s going to reduce the long-term debt and deficit by $4 trillion, doesn’t say how he's going to do it.""",Chris Christie,0,2012-10-04,barack obama reduce long term debt deficit trillion
Says Eric Cantor voted to assure Congress would be paid if the government shut down and against guaranteeing troops would be paid.,Wayne Powell,0,2012-10-04,eric cantor vote assure congress pay government shut guarantee troop pay
"Says Barack Obama ""put in place a board that can tell people ultimately what treatments they're going to receive.""",Mitt Romney,0,2012-10-04,barack obama place board tell people ultimately treatment receive
"""We’re now spending 42 percent of our economy on government.""",Mitt Romney,1,2012-10-03,spend percent economy government
"Romney ""would turn Medicare into a voucher program.""",Barack Obama,1,2012-10-03,romney turn medicare voucher program
"Says Adam Hasner said he will never accept a pay increase, but he voted to raise his pay four times.",Lois Frankel,0,2012-10-03,adam hasner accept pay increase vote raise pay time
"Says Ohio's Issue 2 will create a redistricting commission that will ""have a blank check to spend our money.""",Ohio Republican Party,0,2012-10-03,ohio issue create redistricting commission blank check spend money
"""One of the first states in the union to pass a voter ID bill was Rhode Island, 85 percent Democratic legislature.""",Ann Coulter,0,2012-10-03,state union pass voter id bill rhode island percent democratic legislature
"Rhode Island’s voter identification law was pushed by ""a black Democrat in the House, a black Democrat in the Senate. That's a fact.""",Ann Coulter,1,2012-10-03,rhode island voter identification law push black democrat house black democrat senate fact
"Says President Barack Obama ""already passed all these Obamacare taxes. About a dozen of them hit middle-income taxpayers.""",Paul Ryan,0,2012-10-02,president barack obama pass obamacare taxis dozen hit middle income taxpayer
"Almost 400 arrests in the city last year for panhandling-related offenses involved just 78 suspects, an indication that the same people are panhandling over and over.",Michael Julian Bond,1,2012-10-02,arrest city year panhandle relate offense involve suspect indication people panhandle
"The Obama administration’s ""green"" stimulus program ""funneled close to $2 billion dollars to overseas firms,"" creating thousands of jobs in China.",Americans For Tax Reform,0,2012-10-01,obama administration green stimulus program funnel close billion dollar overseas firm create thousand job china
"Chinese tire imports threatened 1,000 American jobs, so President Obama ""stood up to China and protected American workers. Mitt Romney attacked Obama's decision.""",Barack Obama,1,2012-10-01,chinese tire import threaten american job president obama stand china protect american worker mitt romney attack obama decision
Says Mitt Romney’s investments created zero jobs.,Workers' Voice,0,2012-10-01,mitt romney investment create zero job
"Says the ""public option"" considered in the health care law backed by U.S. Senate candidate Tammy Baldwin was ""wildly unpopular.""",U.S. Chamber of Commerce,0,2012-10-01,public option consider health care law senate candidate tammy baldwin wildly unpopular
"""In every state, women are paid less than men.""",National Women's Law Center,1,2012-10-01,state woman pay man
"George Allen ""voted to end Pell Grants for 84,000 students.""",Tim Kaine,1,2012-10-01,george allen vote end pell grants student
"Says 7,000 millionaires ""gamed the system to pay no income taxes.""",Tammy Baldwin,0,2012-09-30,millionaire game system pay income taxis
"""Bob Menendez actually voted in favor of higher taxes more than 70 times!""",Joseph Kyrillos,0,2012-09-30,bob menendez actually vote favor high taxis time
"Brendan Doherty wants ""to repeal Obamacare, increasing drug prices for seniors.""",David Cicilline,0,2012-09-30,brendan doherty want repeal obamacare increase drug price senior
"""The Doherty Campaign, unlike the Cicilline Campaign, is funded mostly by individual donors -- not the big PACs that Cicilline relies on.""",Brendan Doherty,0,2012-09-30,doherty campaign unlike cicilline campaign fund individual donor big pac cicilline rely
"""Taxes are lower on families than they've been probably in the last 50 years.""",Barack Obama,1,2012-09-28,taxis low family probably year
"Says Illinois Democrat David Gill ""would end Medicare.""",National Republican Congressional Committee,0,2012-09-28,illinois democrat david gill end medicare
"Says Daniel Webster ""used taxpayer funds to build a lobbyist lounge.""",Val Demings,0,2012-09-28,daniel webster use taxpayer fund build lobbyist lounge
"Says the government has ""gotten the TARP money back plus a profit.""",Bill Clinton,0,2012-09-28,government tarp money plus profit
"""Had the online change of address been in place in 2008 an estimated 130,000 voters who cast provisional ballots could have changed their address online and voted a regular ballot.""",Jon Husted,1,2012-09-28,online change address place estimate voter cast provisional ballot change address online vote regular ballot
"Deficit spending ‘exploded during the Obama administration’ to $5.3 trillion over four years, compared to $2 trillion in eight years under President George W. Bush.",Ron Johnson,1,2012-09-28,deficit spending explode obama administration trillion year compare trillion year president george bush
"""We haven’t passed a budget in more than three years and not a single appropriations bill has been brought to the floor this year.""",Bob Corker,1,2012-09-28,pass budget year single appropriation bill bring floor year
"""There’s at least 7,500 addicted gamblers in Rhode Island, at least, … it could be as high as 22,000.""",Eugene McKenna,1,2012-09-28,addicted gambler rhode island high
"""Tea Party Congressman Frank Guinta voted for billions in cuts to veterans programs.""",Carol Shea-Porter,0,2012-09-27,tea party congressman frank guinta vote billion cut veteran program
"""Over the last four years, the deficit has gone up, but 90 percent of that is as a consequence of"" President George W. Bush’s policies and the recession.",Barack Obama,0,2012-09-27,year deficit percent consequence president george bush policy recession
"""Barack Hussein Obama will … force doctors to assist homosexuals in buying surrogate babies.""",Government is Not God PAC,0,2012-09-27,barack hussein obama force doctor assist homosexual buy surrogate baby
"Says Obama is only president in history who has deliberately removed the words ""endowed by their Creator"" when referring to the Declaration of Independence.",Government is Not God PAC,0,2012-09-27,obama president history deliberately remove word endow creator refer declaration independence
"""We have more people working in the state of New Jersey today than we've ever had in our history.""",Jennifer Beck,0,2012-09-27,people work state new jersey today history
"""Barack Hussein Obama will ... force local authorities to allow Occupy protesters to live in parks.""",Government is Not God PAC,0,2012-09-26,barack hussein obama force local authority allow occupy protester live park
"""Barack Hussein Obama will ... force Christian schools to hire non-Christian teachers.""",Government is Not God PAC,0,2012-09-26,barack hussein obama force christian school hire non christian teacher
"""Barack Hussein Obama will .. force Christian organizations to pay for abortions.""",Government is Not God PAC,0,2012-09-26,barack hussein obama force christian organization pay abortion
"""Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes.""",Government is Not God PAC,0,2012-09-26,barack hussein obama force court accept islamic sharia law domestic dispute
"Josh Mandel ""is lying about his own record. The rating of Ohio's investment fund has NOT improved.""",Sherrod Brown,0,2012-09-26,josh mandel lie record rating ohio investment fund improve
"Bill Nelson voted to confirm Sonia Sotomayor, ""who signed a Supreme Court opinion saying Americans do not have an individual right to own firearms.""",National Rifle Association,1,2012-09-26,bill nelson vote confirm sonia sotomayor sign supreme court opinion americans individual right firearm
"Says that ""you can’t destroy the guns purchased in a (gun) buyback program as the city (of Memphis) wants to do.""",Stacey Campfield,0,2012-09-26,destroy gun purchase gun buyback program city memphis want
"Says there are ""fewer jobs in America today than when Barack Obama became president.""",Chris Christie,0,2012-09-26,job america today barack obama president
"Texas is ""the state that has now gone the longest without electing a Democrat statewide.""",Joaquin Castro,1,2012-09-26,texas state long elect democrat statewide
A poll conducted in Egypt revealed that 80 percent of Egyptians oppose receiving foreign aid from the United States.,Barry Hinckley,1,2012-09-26,poll conduct egypt reveal percent egyptians oppose receive foreign aid united states
"Says ""One of the state’s largest governments made charging this tax one of their top priorities just this year.""",Yes on 79,0,2012-09-25,state large government charge tax priority year
"""President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York.""",Adam Hasner,1,2012-09-25,president obama decide meet prime minister benjamin netanyahu new york
Says Obama sent $450 million to China to build a wind farm in Texas.,Americans For Tax Reform,0,2012-09-25,obama send million china build wind farm texas
Says Barack Obama has added $16 trillion to the national debt.,Rick Perry,0,2012-09-25,barack obama add trillion national debt
"College tuition ""costs have risen by 25 percent under the Democrats.""",Mitt Romney,0,2012-09-25,college tuition cost rise percent democrats
"Says Obama adviser David Plouffe took ""large piles of cash"" from a joint venture partner of a company owned by Iran’s Revolutionary Guard.",Secure America Now,1,2012-09-25,obama adviser david plouffe large pile cash joint venture partner company iran revolutionary guard
"""Bill Nelson voted for a ban on millions of commonly owned firearms, which included many popular hunting and target rifles.""",National Rifle Association,0,2012-09-25,bill nelson vote ban million commonly firearm include popular hunting target rifle
"""The truth is, Planned Parenthood does not provide mammograms. Planned Parenthood refers women to mammography providers, serving as the middlewoman, if you will.""",Karen Handel,1,2012-09-25,truth planned parenthood provide mammogram plan parenthood refer woman mammography provider serve middlewoman
"""Fast and Furious"" began under the Bush administration.",Barack Obama,0,2012-09-24,fast furious begin bush administration
"Says Romney tax plan ""could take away middle-class deductions for child care, mortgages and college tuition.""",Barack Obama,0,2012-09-24,romney tax plan away middle class deduction child care mortgage college tuition
"""We have more natural gas than Saudi Arabia has oil.""",Tommy Thompson,0,2012-09-24,natural gas saudi arabia oil
"Says ""the governor is going around the state talking about [how] we should fund an income tax cut"" that benefits higher income earners and not lower income earners",John Burzichelli,0,2012-09-24,governor state talk fund income tax cut benefit high income earner low income earner
"Barack Obama ""refuses to acknowledge Jerusalem as the capital of Israel.""",Republican Jewish Coalition,1,2012-09-24,barack obama refuse acknowledge jerusalem capital israel
"""Tim Kaine announced he wants to raise taxes on everyone.""",George Allen,0,2012-09-24,tim kaine announce want raise taxis
"""Obamacare will provide coverage for abortions, despite the president’s commitment that it would not.""",Karen Handel,1,2012-09-24,obamacare provide coverage abortion despite president commitment
"Says that in the U.S. House of Representatives ""we’ve had bipartisan support for the repeal of Obamacare … for getting rid of cap and trade … for building the Keystone Pipeline.""",Marsha Blackburn,1,2012-09-24,house representatives bipartisan support repeal obamacare getting rid cap trade build keystone pipeline
"U.S. House opponent Paul Ryan supports ""cutting funding for veterans by 24 percent.""",Rob Zerban,0,2012-09-23,house opponent paul ryan support cut funding veteran percent
"Says the ""number-one source"" of illegal immigration ""is people legally coming to the United States on a tourist visa or a student visa and then disappearing into the population and never being heard from again.""",Rob Andrews,0,2012-09-23,number source illegal immigration people legally come united states tourist visa student visa disappear population hear
"James Langevin ""has received almost $20 million from taxpayers and special interests to use at his own discretion to supposedly champion Rhode Island’s needs.""",Michael Riley,0,2012-09-23,james langevin receive million taxpayer special interest use discretion supposedly champion rhode island need
"""Their New York casino deal was called ‘rigged’ and ‘corrupt.’""",It's Still a Bad Idea,1,2012-09-21,new york casino deal rig corrupt
"Says a voter-adopted constitutional amendment ""instructed"" a state board headed by Jerry Patterson to put $300 million in investment earnings into a fund supporting public school operations.",Progress Texas,0,2012-09-21,voter adopt constitutional amendment instruct state board head jerry patterson million investment earning fund support public school operation
"""Eight million Americans have dropped out of the work force since (Barack) Obama became president. ... The real unemployment rate is 19 percent.""",Restore Our Future,0,2012-09-21,million americans drop work force barack obama president real unemployment rate percent
"Says U.S. Senate candidate Tommy Thompson ""admitted"" that Washington, D.C., ""changed"" him into an insider selling his influence to make millions from powerful special interests.",Democratic Senatorial Campaign Committee,0,2012-09-21,senate candidate tommy thompson admit washington change insider sell influence million powerful special interest
"The national debt of $16 trillion, is ""enough to buy both the Cleveland Indians and Cincinnati Reds 1,918 times.""",Rob Portman,1,2012-09-21,national debt trillion buy cleveland indians cincinnati reds time
"Says Barack Obama's comments indicate he ""believes in redistribution"" of wealth.",Mitt Romney,1,2012-09-20,barack obama comment indicate believe redistribution wealth
"""Redistribution"" has ""never been a characteristic of America.""",Mitt Romney,0,2012-09-20,redistribution characteristic america
"""Even today part of Romney’s fortune is invested in China.""",Barack Obama,1,2012-09-20,today romney fortune invest china
"""I am going to be on the ballot in all 50 states. There is no other third-party candidate that’s going to come close to achieving that.""",Gary Johnson,1,2012-09-20,i ballot state party candidate come close achieve
"Says ""if we do nothing and continue to let Obamacare siphon off that $700 billion dollars off the top of it, Medicare goes away in less than 10 years -- certain accounts of it -- and it just falls apart at the seams.""",Jon Runyan,0,2012-09-20,continue let obamacare siphon billion dollar medicare away year certain account fall apart seam
"""President Obama has no plan to reduce the deficit, let alone pay down the debt.""",Connie Mack,0,2012-09-19,president obama plan reduce deficit let pay debt
"""Since 2000, only 10 cases of in-person voter fraud have been proven nationally.""",NAACP,1,2012-09-19,case person voter fraud prove nationally
"""The president went on a stimulus-fueled spending binge that stuck every American man, woman and child with a $50,000 share of this $16 trillion debt.""",John Boehner,0,2012-09-19,president stimulus fuel spending binge stick american man woman child share trillion debt
"Based on the August 2012 national jobs numbers, ""for every person who got a job, nearly four people stopped looking for a job.""",Paul Ryan,1,2012-09-19,base august national job number person job nearly people stop look job
"The ""48, 49 percent"" that supports President Barack Obama are ""people who pay no income tax.""",Mitt Romney,0,2012-09-18,percent support president barack obama people pay income tax
"""Forty-seven percent of Americans pay no income tax.""",Mitt Romney,1,2012-09-18,seven percent americans pay income tax
"""The Providence Economic Development Partnership . . .which you [Cicilline] chaired, loaned $103,000 in taxpayer funds to one of your campaign workers. The worker never paid back the loan.""",Brendan Doherty,1,2012-09-18,providence economic development partnership cicilline chair loan taxpayer fund campaign worker worker pay loan
"""Portland Schools spend $500K to deem PB&J sandwiches racist.""",Education Action Group,0,2012-09-18,portland schools spend k deem sandwich racist
"""Fifty percent of kids coming out of school can't get a job.""",Mitt Romney,1,2012-09-18,percent kid come school job
"Says President Obama promised ""he'd keep unemployment below 8 percent"" if the stimulus passed.",Mitt Romney,0,2012-09-18,president obama promise unemployment percent stimulus pass
The significant drop in Florida’s unemployment rate is a good economic sign.,Rick Scott,0,2012-09-17,significant drop florida unemployment rate good economic sign
"An aide ""acted on his own"" and ""was not representing the Thompson campaign"" when he sent an email criticizing the sexual orientation of U.S. Senate candidate Tammy Baldwin.",Tommy Thompson,0,2012-09-17,aide act represent thompson campaign send email criticize sexual orientation senate candidate tammy baldwin
"""Sen. Bob Menendez voted to enact a new tax on the sale of homes of 3.8%.""",Menendez Facts,0,2012-09-17,bob menendez vote enact new tax sale home
Says  Sherrod Brown’s campaign attacked Josh Mandel’s military service,Josh Mandel,0,2012-09-17,sherrod brown campaign attack josh mandel military service
"Medicare ""premium support"" backed by Republican vice presidential candidate Paul Ryan ""is not vouchers.""",Phil Gingrey,0,2012-09-17,medicare premium support republican vice presidential candidate paul ryan voucher
"Defends his vote to push ""retirement age to 70"" by saying he is for ""a process"" that would not be fully implemented until ""around the turn of the century.""",Scott DesJarlais,0,2012-09-17,defend vote push retirement age process fully implement turn century
"David Cicilline is ""the 5th most liberal person in the House of Representatives.""",Bernard Jackvony,0,2012-09-17,david cicilline liberal person house representatives
"Says Republican U.S. Rep. Sean Duffy ""voted against paying our soldiers"" and ""against increasing combat pay"" while voting ""to protect his own pay.""",Democratic Congressional Campaign Committee,0,2012-09-16,republican sean duffy vote pay soldier increase combat pay vote protect pay
"Says Congressman Jon Runyan has a ""plan to raise Medicare costs $6,400 a year.""",Shelley Adler,0,2012-09-16,congressman jon runyan plan raise medicare cost year
"The reason 29 states no longer have a death tax ""is that the tax damaged their economic competitiveness.""",Yes on 84,0,2012-09-14,reason state long death tax tax damage economic competitiveness
"Says ""if current trends continue, by 2040, one out of three Texas workers will not have a high school diploma.""",Bill Hammond,1,2012-09-14,current trend continue texas worker high school diploma
Says five studies show his tax plan can cut rates and still bring the same revenue without raising taxes on the middle class.,Mitt Romney,0,2012-09-14,study tax plan cut rate bring revenue raise taxis middle class
"Under Obama, home values in Florida collapsed, construction jobs were lost and the state had a high foreclosure rate.",Mitt Romney,0,2012-09-14,obama home value florida collapse construction job lose state high foreclosure rate
"Tennessee's appeals court judges ""were selected by a handful of party officials in Nashville"" before the system of ""merit selection"" was put into effect.",Paul Summers,1,2012-09-14,tennessee appeal court judge select handful party official nashville system merit selection effect
"The U.S. unemployment rate has remained above 8 percent for 43 consecutive months, the longest stretch since the Great Depression.",Phil Gingrey,1,2012-09-14,unemployment rate remain percent consecutive month long stretch great depression
"""In Cuyahoga County ... 56 percent of weekend voters in 2008 were African American while adult African Americans comprise 28 percent of the county population.""",Marcia Fudge,1,2012-09-14,cuyahoga county percent weekend voter african american adult african americans comprise percent county population
"David Cicilline was ""required to provide key information about city finances to an independent outside auditor. The deadlines were clear -- yet [he intentionally] missed them by months"" until after the November 2010 election.",Brendan Doherty,0,2012-09-14,david cicilline require provide key information city finance independent outside auditor deadline clear intentionally miss month november election
"""We just don't want to get to be like Louisiana, where you have drive-up daiquiri shops.""",Bill Kennemer,1,2012-09-13,want like louisiana drive daiquiri shop
Says Rush Limbaugh made it clear he’d rather see the country fail than President Barack Obama succeed.,Mark Strama,0,2012-09-13,rush limbaugh clear country fail president barack obama succeed
"""The president promised that if he spent money on a stimulus program that unemployment would go to 5.7 percent or 6 percent. Those were his words.""",Jon Bramnick,0,2012-09-13,president promise spend money stimulus program unemployment percent percent word
"Ann Kuster ""supports the government takeover of healthcare, which robs Medicare of over $700 billion.""",Charles Bass,0,2012-09-12,ann kuster support government takeover healthcare rob medicare billion
"$50,000. That's what every child owes today because Washington politicians have run up a huge spending tab and left our kids the bill.""",Frank Guinta,1,2012-09-12,child owe today washington politician run huge spending tab leave kid bill
"Says President Barack Obama ""built this $16 trillion debt.""",Reid Ribble,0,2012-09-12,president barack obama build trillion debt
"""The Senate has not passed a budget in more than three years, not a good budget, not a bad budget, no budget.""",Leonard Lance,1,2012-09-12,senate pass budget year good budget bad budget budget
"""$16 trillion (the national debt) in $1 bills would cover the entire state of Ohio nearly 1.5 times.""",Rob Portman,1,2012-09-12,trillion national debt bill cover entire state ohio nearly time
"Says that if Texas, California and New York all voted for Democratic presidential nominees, ""it would be mathematically impossible for Republicans to elect a president.""",Gilberto Hinojosa,0,2012-09-12,texas california new york vote democratic presidential nominee mathematically impossible republicans elect president
"Voter identification laws make it complicated and expensive to get an ID, essentially instituting a modern-day poll tax.",American Civil Liberties Union,0,2012-09-12,voter identification law complicated expensive id essentially institute modern day poll tax
"""This would be the largest casino in the United States.""",It's Still a Bad Idea,0,2012-09-11,large casino united states
"Says he and Mitt Romney ""always said that we agree with the 2014 deadline"" for leaving Afghanistan.",Paul Ryan,1,2012-09-11,mitt romney agree deadline leave afghanistan
"On new dollar coins, ""'In God We Trust' is gone!""",Chain email,0,2012-09-11,new dollar coin god we trust
Says Obama doubled funding for the Pell Grant.,Kal Penn,1,2012-09-11,obama double funding pell grant
"""We've doubled our use of renewable energy.""",Barack Obama,0,2012-09-11,double use renewable energy
Says Georgia will send more state money per child to state charter schools and that budget cuts are not applied to those charter schools.,Herb Garrett,1,2012-09-11,georgia send state money child state charter school budget cut apply charter school
"""We’re seeing now 30 straight months of private-sector job growth, 4.6 million jobs created.""",Julián Castro,1,2012-09-10,straight month private sector job growth million job create
"The Obama administration is allowing state waivers from welfare work requirements ""only if they had a credible plan to increase employment by 20 percent.""",Bill Clinton,1,2012-09-10,obama administration allow state waiver welfare work requirement credible plan increase employment percent
"Says Republicans ""have declared that they’re going to convert the Medicare program into a voucher program.""",Upendra Chivukula,1,2012-09-10,republicans declare convert medicare program voucher program
"""We know there are more Democrats in Georgia than Republicans. We know that for a fact.""",Mike Berlon,0,2012-09-10,know democrats georgia republicans know fact
"Wayne Powell has a ""stated position of having no objection to taking `In God We Trust"" off of U.S. currency.""",Eric Cantor,1,2012-09-10,wayne powell state position objection god we trust currency
"""$500 billion of the extension of the Bush tax cuts for the wealthy goes to 120,000 families.""",Joe Biden,1,2012-09-09,billion extension bush tax cut wealthy family
"Says the Republican Party platform says ""pull back even more of the rules on campaign finance reform, get rid of McCain-Feingold"" while the Democratic Party platform says ""we want to find a way to put more fair rules on campaign finance reform.""",Cory Booker,1,2012-09-09,republican party platform pull rule campaign finance reform rid mccain feingold democratic party platform want find way fair rule campaign finance reform
Says Charlie Bass forfeits right to equal cost for TV ads under FCC rules,Ann McLane Kuster,0,2012-09-07,charlie bass forfeit right equal cost tv ad fcc rule
"Says ""under Oregon law, girls from 15 years of age and up are given complete control over whether to be sterilized or not.""",CNSNews,0,2012-09-07,oregon law girl year age complete control sterilize
"Says President Barack Obama ""gives students the right to repay (federal) loans as a clear, fixed, low percentage of their income for up to 20 years.""",Bill Clinton,1,2012-09-07,president barack obama student right repay federal loan clear fixed low percentage income year
"The ""Health Care Compact bill would end Medicare's guaranteed benefit for Tennessee's Medicare recipients and shift management of the federal health care plan to the state's TennCare program.""",Tennessee Democratic Party,0,2012-09-07,health care compact bill end medicare guarantee benefit tennessee medicare recipient shift management federal health care plan state tenncare program
Says Romney called Russia our No. 1 enemy.,Barack Obama,1,2012-09-07,romney russia enemy
"""I've cut taxes for ... middle-class families, small businesses.""",Barack Obama,1,2012-09-07,i cut taxis middle class family small business
"""The auditor [for the city of Providence] was not locked out"" of access to the city's finances.",David Cicilline,0,2012-09-07,auditor city providence lock access city finance
"Providence has ""amongst the highest tax rate(s) in the entire country.""",Anthony Gemma,1,2012-09-07,providence high tax entire country
"""After a decade of decline, this country created over half a million manufacturing jobs in the last two and a half years.""",Barack Obama,1,2012-09-06,decade decline country create half million manufacturing job half year
