statement,veracity,light_normalization,full_normalization
"The goal of Common Core is ""to instill federally determined attitudes and mindsets in students including political and religious beliefs.""",0,"the goal of common core is ""to instill federally determined attitudes and mindsets in students including political and religious beliefs.""",goal common core instill federally determine attitude mindset student include political religious belief
"""Common Core expects English teachers to spend at least half of their reading instructional time at every grade level on informational texts.""",0,"""common core expects english teachers to spend at least half of their reading instructional time at every grade level on informational texts.""",common core expect english teacher spend half read instructional time grade level informational text
Teachers were not involved in developing the Common Core State Standards.,0,teachers were not involved in developing the common core state standards.,teacher involve develop common core state standard
"Says ""74 percent of small-business people believe that Obamacare is a bad idea.""",0,"says ""74 percent of small-business people believe that obamacare is a bad idea.""",percent small business people believe obamacare bad idea
"Common Core means ""there are over 300 data elements the government is going to be collecting about your children and about you.""",0,"common core means ""there are over 300 data elements the government is going to be collecting about your children and about you.""",common core mean datum element government collect child
"""Property taxes have increased 20 percent under four years of Chris Christie.""",1,"""property taxes have increased 20 percent under four years of chris christie.""",property taxis increase percent year chris christie
"""We’re 49th in the United States in new businesses created.""",1,"""were 49th in the united states in new businesses created.""",united state new business create
"""Local law enforcement . . . will have access to the [Obamacare] Data Hub’s treasure trove of personal info.""",0,"""local law enforcement . . . will have access to the [obamacare] data hubs treasure trove of personal info.""",local law enforcement access obamacare datum hub treasure trove personal info
"""We went from $160 billion deficit spending in (President George W.) Bush's last year to $1.6 trillion the following year.""",0,"""we went from $160 billion deficit spending in (president george w.) bush's last year to $1.6 trillion the following year.""",billion deficit spending president george bush year trillion follow year
"The ""president has given 1,100 special waivers to his friends"" for Obamacare.",0,"the ""president has given 1,100 special waivers to his friends"" for obamacare.",president special waiver friend obamacare
"Says Damascus’ disincorporation would produce ""NO significant tax savings.""",0,"says damascus disincorporation would produce ""no significant tax savings.""",damascus disincorporation produce significant tax saving
"Since Obamacare became law, ""most of our new jobs have been part-time jobs.""",0,"since obamacare became law, ""most of our new jobs have been part-time jobs.""",obamacare law new job time job
"Says ""by reducing chronic health care costs in the State of Georgia, we can reduce the $32.8 billion lost each year due to lack of productivity and economic costs.""",1,"says ""by reducing chronic health care costs in the state of georgia, we can reduce the $32.8 billion lost each year due to lack of productivity and economic costs.""",reduce chronic health care cost state georgia reduce billion lose year lack productivity economic cost
"""Virtually every person across this country has seen premiums going up and up and up"" due to Obamacare.",0,"""virtually every person across this country has seen premiums going up and up and up"" due to obamacare.",virtually person country premium obamacare
"40,000 veterans in Texas won’t get health care because Perry rejected Obamacare's Medicaid expansion.",1,"40,000 veterans in texas wont get health care because perry rejected obamacare's medicaid expansion.",veteran texas wo health care perry reject obamacare medicaid expansion
"""Unemployment in the city of St. Petersburg is below the state average.""",1,"""unemployment in the city of st. petersburg is below the state average.""",unemployment city st petersburg state average
"""Since Mr. Foster's been mayor, we have less small businesses in the city of St. Petersburg.""",0,"""since mr. foster's been mayor, we have less small businesses in the city of st. petersburg.""",mr foster mayor small business city st petersburg
"""Unfortunately, since Mr. Foster's been mayor ... there are less people employed in the city of St. Petersburg than there were prior to his taking office.""",0,"""unfortunately, since mr. foster's been mayor ... there are less people employed in the city of st. petersburg than there were prior to his taking office.""",unfortunately mr foster mayor people employ city st petersburg prior office
"Says ""nearly 30,000"" federal employees in Oregon were furloughed during the government shutdown.",0,"says ""nearly 30,000"" federal employees in oregon were furloughed during the government shutdown.",nearly federal employee oregon furlough government shutdown
"When SACS came back to the DeKalb County School District to give a midterm review, we got straight A’s.",0,"when sacs came back to the dekalb county school district to give a midterm review, we got straight as.",sac come dekalb county school district midterm review straight
"Chris Christie ""cut equal pay for women, calling it 'senseless bureaucracy.' """,0,"chris christie ""cut equal pay for women, calling it 'senseless bureaucracy.' """,chris christie cut equal pay woman senseless bureaucracy
"Congressional lawmakers earn their salaries ""FOR LIFE,"" which for House Minority Leader Nancy Pelosi would add up to ""$803,700 Dollars a year for LIFE including FREE medical.""",0,"congressional lawmakers earn their salaries ""for life,"" which for house minority leader nancy pelosi would add up to ""$803,700 dollars a year for life including free medical.""",congressional lawmaker earn salary life house minority leader nancy pelosi add dollar year life include free medical
"""Thirteen hundred"" applicants in Rhode Island signed up for insurance through Obamacare.",1,"""thirteen hundred"" applicants in rhode island signed up for insurance through obamacare.",thirteen applicant rhode island sign insurance obamacare
"""No doctors who went to an American medical school will be accepting Obamacare.""",0,"""no doctors who went to an american medical school will be accepting obamacare.""",doctor american medical school accept obamacare
"""Neville Chamberlain told the British people: ‘Accept the Nazis. Yes, they will dominate the continent of Europe, but that is not our problem. Let's appease them. Why? Because it can't be done. We cannot possibly stand against them.’""",0,"""neville chamberlain told the british people: accept the nazis. yes, they will dominate the continent of europe, but that is not our problem. let's appease them. why? because it can't be done. we cannot possibly stand against them.""",neville chamberlain tell british people accept nazi yes dominate continent europe problem let appease possibly stand
"Says Jeanne Shaheen ""got behind the idea of using the IRS to target American citizens for their political views.""",0,"says jeanne shaheen ""got behind the idea of using the irs to target american citizens for their political views.""",jeanne shaheen idea use irs target american citizen political view
"Ann Kuster turned ""a blind eye to those in need of funding"" by voting ""against funding for our nation’s veterans, low-income women and children, the FDA and the National Institutes of Health.""",0,"ann kuster turned ""a blind eye to those in need of funding"" by voting ""against funding for our nations veterans, low-income women and children, the fda and the national institutes of health.""",ann kuster turn blind eye need funding vote funding nation veteran low income woman child fda national institute health
"Says U.S. Rep. Debbie Wasserman Schultz ""voted to cut off Florida’s veterans and their benefits.""",0,"says u.s. rep. debbie wasserman schultz ""voted to cut off floridas veterans and their benefits.""",rep debbie wasserman schultz vote cut florida veteran benefit
The White House had a live video feed of the Benghazi attacks as they occurred.,0,the white house had a live video feed of the benghazi attacks as they occurred.,white house live video feed benghazi attack occur
"""Eighty percent of the antibiotics in this country are fed to livestock.""",1,"""eighty percent of the antibiotics in this country are fed to livestock.""",eighty percent antibiotic country feed livestock
"Says ""we are going to sell this house and use the proceeds to stabilize rates.""",0,"says ""we are going to sell this house and use the proceeds to stabilize rates.""",sell house use proceed stabilize rate
"Says U.S. Rep. Steve Daines, R-Mont., ""opposes a vote on his own legislation that he proposed just a few months ago.""",0,"says u.s. rep. steve daines, r-mont., ""opposes a vote on his own legislation that he proposed just a few months ago.""",rep steve daine r mont oppose vote legislation propose month ago
"""Rather than prioritize and pass ethics reform measures to restore trust in state government, (Democrats) sat on their hands and did nothing"" when they were the majority.",0,"""rather than prioritize and pass ethics reform measures to restore trust in state government, (democrats) sat on their hands and did nothing"" when they were the majority.",prioritize pass ethic reform measure restore trust state government democrats sit hand majority
"A $10 million fire fee proposal in St. Petersburg was ""inspired"" by Gov. Rick Scott.",0,"a $10 million fire fee proposal in st. petersburg was ""inspired"" by gov. rick scott.",million fire fee proposal st petersburg inspire gov rick scott
A congressional laundry closed due to the partial government shutdown.,1,a congressional laundry closed due to the partial government shutdown.,congressional laundry close partial government shutdown
"""It’s been 4 and a half years since the United States Senate passed a budget.""",0,"""its been 4 and a half years since the united states senate passed a budget.""",half year united state senate pass budget
"""Six years after unionization, 20,000 fewer children in Illinois were being served by the Child Care and Development Fund program.""",0,"""six years after unionization, 20,000 fewer children in illinois were being served by the child care and development fund program.""",year unionization child illinois serve child care development fund program
"Amanda Murphy has ""two vacation homes around the world.""",0,"amanda murphy has ""two vacation homes around the world.""",amanda murphy vacation home world
"Bill Gunter would ""drain millions from local public schools, and give our tax dollars to private, for-profit schools run by out-of-state corporations.""",0,"bill gunter would ""drain millions from local public schools, and give our tax dollars to private, for-profit schools run by out-of-state corporations.""",bill gunter drain million local public school tax dollar private profit school run state corporation
"""Ninety six percent of employers in the Granite State are considered small businesses.""",1,"""ninety six percent of employers in the granite state are considered small businesses.""",ninety percent employer granite state consider small business
"Democrats already agreed to ""a deal that Republicans wanted, that Eric Cantor said would be a win.""",1,"democrats already agreed to ""a deal that republicans wanted, that eric cantor said would be a win.""",democrats agree deal republicans want eric cantor win
"Says Oregonians for Food and Shelter ""proudly features board members from Monsanto and Syngenta and the (Oregon) Farm Bureau also receives funding from biotech companies.""",1,"says oregonians for food and shelter ""proudly features board members from monsanto and syngenta and the (oregon) farm bureau also receives funding from biotech companies.""",oregonian food shelter proudly feature board member monsanto syngenta oregon farm bureau receive funding biotech company
"Terry McAuliffe has ""threatened to shut down Virginia’s government if his budget plan isn’t supported.""",0,"terry mcauliffe has ""threatened to shut down virginias government if his budget plan isnt supported.""",terry mcauliffe threaten shut virginia government budget plan support
"Says ""(t)his 12 year council 'Seat-warmer' has never chaired, vice chaired, or led a single Council committee meeting.""",0,"says ""(t)his 12 year council 'seat-warmer' has never chaired, vice chaired, or led a single council committee meeting.""",year council seat warm chair vice chair lead single council committee meeting
"Louie Gohmert of Texas ""compared the current general-in-charge in Egypt to George Washington.""",1,"louie gohmert of texas ""compared the current general-in-charge in egypt to george washington.""",louie gohmert texas compare current general charge egypt george washington
"Louie Gohmert of Texas ""blamed the mass shooting at a movie theater in Colorado on ‘the ongoing attacks on Judeo-Christian beliefs.'""",0,"louie gohmert of texas ""blamed the mass shooting at a movie theater in colorado on the ongoing attacks on judeo-christian beliefs.'""",louie gohmert texas blame mass shooting movie theater colorado ongoing attack judeo christian belief
"""Many don’t know that Bill Young was once the minority leader in the Florida Senate...because he was the only Republican senator.""",1,"""many dont know that bill young was once the minority leader in the florida senate...because he was the only republican senator.""",know bill young minority leader florida senate republican senator
"I am ""the only candidate for lieutenant governor to oppose in-state tuition for illegal immigrants.""",0,"i am ""the only candidate for lieutenant governor to oppose in-state tuition for illegal immigrants.""",I candidate lieutenant governor oppose state tuition illegal immigrant
"Says Sen. Mark Pryor voted for ""special subsidies"" for lawmakers and staff in Congress ""so they’re protected from Obamacare.""",0,"says sen. mark pryor voted for ""special subsidies"" for lawmakers and staff in congress ""so theyre protected from obamacare.""",sen mark pryor vote special subsidy lawmaker staff congress protect obamacare
"The health care marketplaces have ""no privacy protections.""",0,"the health care marketplaces have ""no privacy protections.""",health care marketplace privacy protection
"Any state tax law has to start in the House and the renewal of the state hospital bed tax this year started in the Senate, which is unconstitutional.",0,"any state tax law has to start in the house and the renewal of the state hospital bed tax this year started in the senate, which is unconstitutional.",state tax law start house renewal state hospital bed tax year start senate unconstitutional
"""For the first time since the Korean War, total federal spending has gone down for two years in a row.""",1,"""for the first time since the korean war, total federal spending has gone down for two years in a row.""",time korean war total federal spending year row
"Because of the 2011 debt ceiling fight, ""the stock market lost 2,000 points.""",1,"because of the 2011 debt ceiling fight, ""the stock market lost 2,000 points.""",debt ceiling fight stock market lose point
"""Nobody's addicted to"" marijuana.",0,"""nobody's addicted to"" marijuana.",addict marijuana
"""Every month, we get the reports from the Bureau of Labor Statistics that say even more people have given up looking for work.""",0,"""every month, we get the reports from the bureau of labor statistics that say even more people have given up looking for work.""",month report bureau labor statistic people look work
The Obama administration shut down the Amber Alert program because of the government shutdown.,0,the obama administration shut down the amber alert program because of the government shutdown.,obama administration shut amber alert program government shutdown
"""Obama has jumped the shark and ordered the ocean closed!""",0,"""obama has jumped the shark and ordered the ocean closed!""",obama jump shark order ocean close
"There is ""a constitutional issue"" that affects ""the paychecks of members of Congress"" during a shutdown.",1,"there is ""a constitutional issue"" that affects ""the paychecks of members of congress"" during a shutdown.",constitutional issue affect paycheck member congress shutdown
"Virginia is ""the number one state per capita in screening out people with mental illness from gun purchases.""",1,"virginia is ""the number one state per capita in screening out people with mental illness from gun purchases.""",virginia number state capita screen people mental illness gun purchase
Forty-six states have a line-item veto for the governor.,1,forty-six states have a line-item veto for the governor.,state line item veto governor
"Says a man opted out of Obamacare after the marketplace launched on Oct. 1, 2013, and was informed he owed a $4,000 fine.",0,"says a man opted out of obamacare after the marketplace launched on oct. 1, 2013, and was informed he owed a $4,000 fine.",man opt obamacare marketplace launch oct inform owe fine
"The growth in health care costs ""has been reined in through the Affordable Care Act.""",0,"the growth in health care costs ""has been reined in through the affordable care act.""",growth health care cost rein affordable care act
"""At the time that (Medicare Part D) was passed (it) was actually less popular than the Affordable Care Act, according to the polls.""",1,"""at the time that (medicare part d) was passed (it) was actually less popular than the affordable care act, according to the polls.""",time medicare d pass actually popular affordable care act accord poll
"The shutdown is projected to result in ""$10 billion in costs to the economy per week.""",1,"the shutdown is projected to result in ""$10 billion in costs to the economy per week.""",shutdown project result billion cost economy week
"""Obama Declares November National Muslim Appreciation Month.""",0,"""obama declares november national muslim appreciation month.""",obama declare november national muslim appreciation month
"Ken Cuccinelli ""tried to shut down"" state government.",0,"ken cuccinelli ""tried to shut down"" state government.",ken cuccinelli try shut state government
"""(Texas Republicans) believe in abolishing Social Security, abolishing V.A. health care.""",0,"""(texas republicans) believe in abolishing social security, abolishing v.a. health care.""",texas republican believe abolish social security abolish health care
The crime rate in some Atlanta neighborhoods has dropped by 35 to 51 percent.,0,the crime rate in some atlanta neighborhoods has dropped by 35 to 51 percent.,crime rate atlanta neighborhood drop percent
"In a ""sweetheart deal … members of Congress, thanks to the Obama administration, are going to be the only people in America to get subsidies in the Obamacare exchanges.""",0,"in a ""sweetheart deal ... members of congress, thanks to the obama administration, are going to be the only people in america to get subsidies in the obamacare exchanges.""",sweetheart deal member congress thank obama administration people america subsidy obamacare exchange
"""In 2010, the non-partisan Government Accountability Office found that only 6.5 percent of the U.S.-Mexico border was under full control of the Border Patrol.""",1,"""in 2010, the non-partisan government accountability office found that only 6.5 percent of the u.s.-mexico border was under full control of the border patrol.""",non partisan government accountability office find percent border control border patrol
"""Photo ID is not required for those who vote by mail.""",1,"""photo id is not required for those who vote by mail.""",photo d require vote mail
"""For the last decade, Floridians’ salaries have shrunk substantially"" when adjusted for inflation.",1,"""for the last decade, floridians salaries have shrunk substantially"" when adjusted for inflation.",decade floridian salary shrink substantially adjust inflation
"Says ""Nathan Deal killed pro-gun bills in 2013.""",0,"says ""nathan deal killed pro-gun bills in 2013.""",nathan deal kill pro gun bill
"""A strong bipartisan majority"" in the House of Representatives ""voted to defund Obamacare.""",0,"""a strong bipartisan majority"" in the house of representatives ""voted to defund obamacare.""",strong bipartisan majority house representative vote defund obamacare
"""The United States Senate — Democrats and Republicans — (voted) to keep our government open.""",0,"""the united states senate  democrats and republicans  (voted) to keep our government open.""",united state senate democrat republican vote government open
"""Many state and federal agencies have such ‘navigators’ involved in helping folks maneuver through the often complex processes associated with filing benefits claims, for example -- even buying health insurance.""",1,"""many state and federal agencies have such navigators involved in helping folks maneuver through the often complex processes associated with filing benefits claims, for example -- even buying health insurance.""",state federal agency navigator involve help folk maneuver complex process associate file benefit claim example buy health insurance
"""I would be the first Republican senator elected in New Jersey in 41 years.""",1,"""i would be the first republican senator elected in new jersey in 41 years.""",I republican senator elect new jersey year
"""There are still tens of thousands of missing service members from previous and current conflicts that our nation is working to find and repatriate.""",1,"""there are still tens of thousands of missing service members from previous and current conflicts that our nation is working to find and repatriate.""",thousand miss service member previous current conflict nation work find repatriate
The highest paid employee of the State of Rhode Island is a basketball coach.,1,the highest paid employee of the state of rhode island is a basketball coach.,highest pay employee state rhode island basketball coach
"If sea levels rise six feet due to climate change, Waterplace Park in Providence and Wickford village would be swamped",1,"if sea levels rise six feet due to climate change, waterplace park in providence and wickford village would be swamped",sea level rise foot climate change waterplace park providence wickford village swamp
Says Maggie Hassan is the only female governor in the country.,0,says maggie hassan is the only female governor in the country.,maggie hassan female governor country
"With Obamacare, ""we're fixing to get hit with the biggest entitlement program the American taxpayers have ever seen.""",0,"with obamacare, ""we're fixing to get hit with the biggest entitlement program the american taxpayers have ever seen.""",obamacare fix hit big entitlement program american taxpayer
"Under economic sanctions, ""now Iran is suffering 30 percent inflation, 20 percent unemployment.""",1,"under economic sanctions, ""now iran is suffering 30 percent inflation, 20 percent unemployment.""",economic sanction iran suffer percent inflation percent unemployment
"""Up to half of all Americans have a pre-existing condition.""",1,"""up to half of all americans have a pre-existing condition.""",half american pre exist condition
"Under Cuccinelli’s tax cut plan, ""school divisions across Virginia could be forced to fire over 8,000 teachers.""",0,"under cuccinellis tax cut plan, ""school divisions across virginia could be forced to fire over 8,000 teachers.""",cuccinelli tax cut plan school division virginia force fire teacher
Warren Buffett says stop Obamacare now and start over.,0,warren buffett says stop obamacare now and start over.,warren buffett stop obamacare start
"UPS left 15,000 employees’ spouses ""without health insurance"" and told them to, ""go on an exchange with no employer subsidy.""",0,"ups left 15,000 employees spouses ""without health insurance"" and told them to, ""go on an exchange with no employer subsidy.""",leave employee spouse health insurance tell exchange employer subsidy
"""(Obamacare) is a bill which has never once had a majority of Americans favor it.""",1,"""(obamacare) is a bill which has never once had a majority of americans favor it.""",obamacare bill majority american favor
"""I’ve been reducing the number of Democratic"" Texas Senate committee ""chairs since I came in"" as lieutenant governor.",0,"""ive been reducing the number of democratic"" texas senate committee ""chairs since i came in"" as lieutenant governor.",I ve reduce number democratic texas senate committee chair I come lieutenant governor
"""Today many Florida teachers are at risk of having their pay impacted by the performance of children who are not even in their classrooms or subject areas.""",1,"""today many florida teachers are at risk of having their pay impacted by the performance of children who are not even in their classrooms or subject areas.""",today florida teacher risk pay impact performance child classroom subject area
"""According to the Congressional Budget Office, repealing Obamacare would increase the budget deficit.""",1,"""according to the congressional budget office, repealing obamacare would increase the budget deficit.""",accord congressional budget office repeal obamacare increase budget deficit
"""Over the past 35 years, Florida families have paid into the (National Flood Insurance Program) over $16 billion, four times more than the amount they have received in claim reimbursements.""",1,"""over the past 35 years, florida families have paid into the (national flood insurance program) over $16 billion, four times more than the amount they have received in claim reimbursements.""",past year florida family pay national flood insurance program billion time receive claim reimbursement
The U.S. Supreme Court decided in 1982 that non-citizen children must get free K-12 education.,1,the u.s. supreme court decided in 1982 that non-citizen children must get free k-12 education.,supreme court decide non citizen child free education
"If the government shuts down, ""all military personnel will continue to serve and accrue pay but will not actually be paid until appropriations are available.""",1,"if the government shuts down, ""all military personnel will continue to serve and accrue pay but will not actually be paid until appropriations are available.""",government shut military personnel continue serve accrue pay actually pay appropriation available
"Mental health provisions related to mass shootings ""got over 90 votes in the Senate.""",1,"mental health provisions related to mass shootings ""got over 90 votes in the senate.""",mental health provision relate mass shooting vote senate
"""Thanks to (Rick) Perry's bad budgeting, the (Texas) highway department has to convert some modern paved state roads back to gravel.""",0,"""thanks to (rick) perry's bad budgeting, the (texas) highway department has to convert some modern paved state roads back to gravel.""",thank rick perry bad budgeting texas highway department convert modern paved state road gravel
"""In fiscal year 2011-2012, 4,191 abortions were paid for by taxpayers via the Oregon Health Plan.""",1,"""in fiscal year 2011-2012, 4,191 abortions were paid for by taxpayers via the oregon health plan.""",fiscal year abortion pay taxpayer oregon health plan
"""The American people support defunding Obamacare and oppose shutting down the government.""",0,"""the american people support defunding obamacare and oppose shutting down the government.""",american people support defunde obamacare oppose shut government
"""The president’s own advisers have said there’s a war on coal.""",0,"""the presidents own advisers have said theres a war on coal.""",president adviser war coal
"Wendy Davis is ""the most popular politician in Texas.""",0,"wendy davis is ""the most popular politician in texas.""",wendy davis popular politician texas
"""You have to get a license to fish on our beaches.""",1,"""you have to get a license to fish on our beaches.""",license fish beach
"""Governor Deal has increased education spending every year he’s been in office.""",1,"""governor deal has increased education spending every year hes been in office.""",governor deal increase education spending year office
"""Terry McAuliffe cashed in, walking away with millions"" from the demise of Global Crossing.",0,"""terry mcauliffe cashed in, walking away with millions"" from the demise of global crossing.",terry mcauliffe cash walk away million demise global crossing
"""We’ve used (generally accepted accounting principles) here in this building the last two years.""",0,"""weve used (generally accepted accounting principles) here in this building the last two years.""",ve use generally accept accounting principle building year
"""One out of 10 minimum-wage workers in the U.S. live in Texas.""",1,"""one out of 10 minimum-wage workers in the u.s. live in texas.""",minimum wage worker live texas
"""Ninety-five percent of all the wages in Texas are above minimum wage.""",1,"""ninety-five percent of all the wages in texas are above minimum wage.""",ninety percent wage texas minimum wage
"""Every engine manufacturer in the United States is now in the state of Texas.""",0,"""every engine manufacturer in the united states is now in the state of texas.""",engine manufacturer united state state texas
"""More than 400 car crashes occur each year on the current, congested Columbia River Bridge.""",0,"""more than 400 car crashes occur each year on the current, congested columbia river bridge.""",car crash occur year current congested columbia river bridge
"In Florida ""we have 75,000 on (a) waiting list for child care and 23,000 on waiting lists"" for community care for the elderly.",1,"in florida ""we have 75,000 on (a) waiting list for child care and 23,000 on waiting lists"" for community care for the elderly.",florida wait list child care waiting list community care elderly
"""Since sequester began federal employment has been subtracting 6,000-7,000 jobs per month""",0,"""since sequester began federal employment has been subtracting 6,000-7,000 jobs per month""",sequester begin federal employment subtract job month
"""Obamacare will question your sex life.""",0,"""obamacare will question your sex life.""",obamacare question sex life
"""Cuccinelli wants to make all abortion illegal, even in cases of rape and incest, even to protect a woman’s health.""",0,"""cuccinelli wants to make all abortion illegal, even in cases of rape and incest, even to protect a womans health.""",cuccinelli want abortion illegal case rape incest protect woman health
"The Capitol Police force is ""going so far as to use paramilitary equipment"" in dealing with singing protesters in Madison",0,"the capitol police force is ""going so far as to use paramilitary equipment"" in dealing with singing protesters in madison",capitol police force far use paramilitary equipment deal singing protester madison
"The employer mandate ""affects only 5 percent of businesses in this country.""",1,"the employer mandate ""affects only 5 percent of businesses in this country.""",employer mandate affect percent business country
"""Tampa got more (federal housing) money because they scored higher on the blight scoring system, so they've got a much bigger problem than we do.""",0,"""tampa got more (federal housing) money because they scored higher on the blight scoring system, so they've got a much bigger problem than we do.""",tampa federal housing money score higher blight scoring system ve big problem
"Says potential Democratic opponent Mary Burke ""implemented the policies of Jim Doyle. Those are the policies that, in his last term, saw the state lose more than 133,000 jobs.""",0,"says potential democratic opponent mary burke ""implemented the policies of jim doyle. those are the policies that, in his last term, saw the state lose more than 133,000 jobs.""",potential democratic opponent mary burke implement policy jim doyle policy term state lose job
"Warren Buffett recently said ""Scrap Obamacare and Start All Over.""",0,"warren buffett recently said ""scrap obamacare and start all over.""",warren buffett recently scrap obamacare start
"""1 percent of candidates that (the National Rifle Association) endorsed in 2012 won.""",0,"""1 percent of candidates that (the national rifle association) endorsed in 2012 won.""",percent candidate national rifle association endorse won
"""Soy ... el único official estatal quién es un hombre de negocios.""",0,"""soy ... el unico official estatal quien es un hombre de negocios.""",soy el unico official estatal quien es un hombre de negocio
The very first meal on the surface of the moon was the Holy Communion.,1,the very first meal on the surface of the moon was the holy communion.,meal surface moon holy communion
"""The amount of interest"" paid on the federal debt exceeds ""total tax revenue.""",0,"""the amount of interest"" paid on the federal debt exceeds ""total tax revenue.""",interest pay federal debt exceed total tax revenue
"""Studies have shown that voter fraud is non-existent in Texas.""",0,"""studies have shown that voter fraud is non-existent in texas.""",study voter fraud non existent texas
"The United States ""stood alone in the war in Iraq.""",0,"the united states ""stood alone in the war in iraq.""",united state stand war iraq
"Says he ""opposed the president’s decision to go into Iraq"" in 2003.",0,"says he ""opposed the presidents decision to go into iraq"" in 2003.",oppose president decision iraq
"In 2012, the state ""put together a list of over 100,000 people that they thought were ineligible to vote. Came out there were less than 10.""",0,"in 2012, the state ""put together a list of over 100,000 people that they thought were ineligible to vote. came out there were less than 10.""",state list people think ineligible vote come
"President Barack Obama ""had the legal authority"" to strike Syria without a vote from Congress.",1,"president barack obama ""had the legal authority"" to strike syria without a vote from congress.",president barack obama legal authority strike syria vote congress
"The United Nations has conducted ""172 successful peacekeeping missions and negotiations.""",1,"the united nations has conducted ""172 successful peacekeeping missions and negotiations.""",united nation conduct successful peacekeeping mission negotiation
"""One out of every three students currently today is ready for college before they go there.""",0,"""one out of every three students currently today is ready for college before they go there.""",student currently today ready college
"In the event of a U.S. strike on Syria, ""the Russians will replace the weapons immediately. They’ve said it on the record. They’ve suggested they might even replace it with better stuff.""",0,"in the event of a u.s. strike on syria, ""the russians will replace the weapons immediately. theyve said it on the record. theyve suggested they might even replace it with better stuff.""",event strike syria russian replace weapon immediately ve record ve suggest replace stuff
"""7 out of 10 Oregon families living in poverty have at least one parent who works.""",1,"""7 out of 10 oregon families living in poverty have at least one parent who works.""",oregon family live poverty parent work
"""The Kenosha casino would be one of the state’s largest employers and pay more to the state than any other company or Tribe – essentially, it would be Wisconsin’s biggest taxpayer.""",1,"""the kenosha casino would be one of the states largest employers and pay more to the state than any other company or tribe  essentially, it would be wisconsins biggest taxpayer.""",kenosha casino state large employer pay state company tribe essentially wisconsin big taxpayer
"""Before President Obama acted in Libya in 2011, the American people were opposed to military action by 35 to 60. After he took action, they were in support of it 54 to 43.""",1,"""before president obama acted in libya in 2011, the american people were opposed to military action by 35 to 60. after he took action, they were in support of it 54 to 43.""",president obama act libya american people oppose military action action support
"Chemical weapons have been used ""probably 20 times"" since the Persian Gulf War.",0,"chemical weapons have been used ""probably 20 times"" since the persian gulf war.",chemical weapon use probably time persian gulf war
"""The government does not need a warrant to read your old emails.""",1,"""the government does not need a warrant to read your old emails.""",government need warrant read old email
"""CBO reports that delaying the Obamacare individual mandate will reduce the deficit by $35 billion over ten years.""",1,"""cbo reports that delaying the obamacare individual mandate will reduce the deficit by $35 billion over ten years.""",cbo report delay obamacare individual mandate reduce deficit billion year
"The Libertarian Party ""is the third-largest political party in the U.S.""",0,"the libertarian party ""is the third-largest political party in the u.s.""",libertarian party large political party
Says he would be first CPA to serve as Texas comptroller.,1,says he would be first cpa to serve as texas comptroller.,cpa serve texas comptroller
"Says U.S. Rep. Tom Price is sending letters both supporting and opposing the ""small-business killing Internet Tax Mandate.""",0,"says u.s. rep. tom price is sending letters both supporting and opposing the ""small-business killing internet tax mandate.""",rep tom price send letter support oppose small business kill internet tax mandate
"""Trenton politicians cut $1.3 billion from education.""",1,"""trenton politicians cut $1.3 billion from education.""",trenton politician cut billion education
"Says Gov. Scott Walker ""hasn't done a public event this entire year.""",0,"says gov. scott walker ""hasn't done a public event this entire year.""",gov scott walker public event entire year
"""Wind power is the most undependable form of renewable energy.""",0,"""wind power is the most undependable form of renewable energy.""",wind power undependable form renewable energy
"""Over the past twenty years, the number of homicides committed with a firearm in the United States has decreased by nearly 40 percent. The number of other crimes involving the use of a firearm has also plummeted, declining by nearly 70 percent.""",1,"""over the past twenty years, the number of homicides committed with a firearm in the united states has decreased by nearly 40 percent. the number of other crimes involving the use of a firearm has also plummeted, declining by nearly 70 percent.""",past year number homicide commit firearm united state decrease nearly percent number crime involve use firearm plummet decline nearly percent
"An account of attacks in Benghazi written by former White House press secretary Dee Dee Myers shows that the body of U.S. Ambassador to Libya Christopher Stevens was ""dragged through the streets"" and abused.",0,"an account of attacks in benghazi written by former white house press secretary dee dee myers shows that the body of u.s. ambassador to libya christopher stevens was ""dragged through the streets"" and abused.",account attack benghazi write white house press secretary dee dee myers body ambassador libya christopher stevens drag street abuse
"""We cut business taxes so today 70 percent of our businesses don't pay a business tax.""",1,"""we cut business taxes so today 70 percent of our businesses don't pay a business tax.""",cut business taxis today percent business pay business tax
"""We will have the highest general revenue in state history next year. Conservative pro-growth policies work in our state.""",0,"""we will have the highest general revenue in state history next year. conservative pro-growth policies work in our state.""",high general revenue state history year conservative pro growth policy work state
"About 40 percent of U.S. illegal immigrants ""came in on an airplane, with a legal visa, and just overstayed their visa and have never gone home.""",1,"about 40 percent of u.s. illegal immigrants ""came in on an airplane, with a legal visa, and just overstayed their visa and have never gone home.""",percent illegal immigrant come airplane legal visa overstay visa home
The number of African-American men in prison has increased fivefold since he left office.,1,the number of african-american men in prison has increased fivefold since he left office.,number african american man prison increase fivefold leave office
"Says every day of a special session costs taxpayers $40,000.",0,"says every day of a special session costs taxpayers $40,000.",day special session cost taxpayer
"Says Obama ""exempted Congress and their staff from the full effect of the (health care) law.""",0,"says obama ""exempted congress and their staff from the full effect of the (health care) law.""",obama exempt congress staff effect health care law
"According to a recent poll, ""there are more young Republicans enrolled in their parents' (health insurance) plans than young Democrats.""",1,"according to a recent poll, ""there are more young republicans enrolled in their parents' (health insurance) plans than young democrats.""",accord recent poll young republican enrol parent health insurance plan young democrat
